Date,Traffic_Mawa,Traffic_Jajira,Cash_Mawa,Cash_Jajira,Total_Traffic,Total_Cash
29/10/2023,4394,5962,5617300,7007150,10356,12624450
30/10/2023,8616,10203,11596550,13025100,18819,24621650
31/10/2023,5695,4573,7630250,5901950,10268,13532200
11/01/2023,4767,4465,5452500,5480850,9232,10933350
11/02/2023,7056,5998,7273000,7932050,13054,15205050
11/03/2023,11192,11514,13244700,14633000,22706,27877700
11/04/2023,8860,11374,11346500,13143300,20234,24489800
11/05/2023,5725,5279,7500550,6241150,11004,13741700
11/06/2023,5143,5271,6066050,6438350,10414,12504400
11/07/2023,7151,9261,9310200,12445050,16412,21755250
11/08/2023,6021,5667,7789700,7393050,11688,15182750
11/09/2023,7916,6434,8341450,8388200,14350,16729650
11/10/2023,11751,11478,13226950,13810650,23229,27037600
11/11/2023,8524,10851,10978600,12348300,19375,23326900
11/12/2023,6231,6285,7850300,7589000,12516,15439300
13/11/2023,5640,6264,6712500,7590200,11904,14302700
14/11/2023,7767,7563,10065400,9673150,15330,19738550
15/11/2023,6454,6268,8167750,8086300,12722,16254050
16/11/2023,7434,6121,8057650,8160750,13555,16218400
17/11/2023,8662,8540,11475500,11560500,17202,23036000
18/11/2023,7593,9998,9602950,11633900,17591,21236850
19/11/2023,6109,6183,7937700,7440800,12292,15378500
20/11/2023,5996,6439,7341500,8115600,12435,15457100
21/11/2023,7646,8225,9954350,11042950,15871,20997300
22/11/2023,6383,6245,8158350,8311100,12628,16469450
23/11/2023,8309,6928,9073350,9129900,15237,18203250
24/11/2023,11375,10702,13138350,13068650,22077,26207000
25/11/2023,8398,10764,10596450,12203650,19162,22800100
26/11/2023,6581,6917,8132550,8233750,13498,16366300
27/11/2023,6672,6721,8105500,8670650,13393,16776150
28/11/2023,8400,8392,10610750,11019050,16792,21629800
29/11/2023,7385,7075,9312550,9087600,14460,18400150
30/11/2023,9121,7488,10047450,9734800,16609,19782250
12/01/2023,12775,11920,14639350,14323450,24695,28962800
12/02/2023,8655,10946,10907700,12514950,19601,23422650
12/03/2023,6998,7732,8778750,9033800,14730,17812550
12/04/2023,6827,7496,8585950,9537950,14323,18123900
12/05/2023,8720,8524,11275250,11309800,17244,22585050
12/06/2023,7627,7361,9554500,9683350,14988,19237850
12/07/2023,7992,6462,10020300,9094900,14454,19115200
12/08/2023,10564,10324,12432500,13033350,20888,25465850
12/09/2023,8303,10422,104076500,12082150,18725,22489800
12/10/2023,7577,8219,9809300,10322500,15796,20131800
12/11/2023,7811,8141,10190450,10869300,15952,21059750
12/12/2023,8012,7947,10382950,10393900,15959,20776850
13/12/2023,8296,7883,10490850,10730000,16179,21220850
14/12/2023,12994,8997,13798550,12409000,21991,26207550
15/12/2023,15985,11831,17498850,15055500,27816,32554350
16/12/2023,9775,13949,11658400,14563850,23724,26222250
17/12/2023,8213,11320,11071050,12728050,19533,23799100
18/12/2023,8267,9128,11131950,11696250,17395,22828200
19/12/2023,7821,8080,10408250,10715250,15901,21123500
20/12/2023,8792,8704,11464650,11685050,17496,23149700
21/12/2023,11327,8793,13070550,12121000,20120,25191550
22/12/2023,13595,11351,15368450,13804950,24946,29173400
23/12/2023,9279,10979,11766100,13107500,20258,24873600
24/12/2023,8503,8466,10729100,10479250,16969,21208350
25/12/2023,10336,11680,12785700,14077750,22016,26863450
26/12/2023,8423,8877,11078100,11026700,17300,22104800
27/12/2023,8599,8656,11180950,11378950,17255,22559900
28/12/2023,10673,8732,12487800,11626900,19405,24114700
29/12/2023,12244,11031,14192650,13108600,23275,27301250
30/12/2023,8475,11363,11119450,13138750,19838,24258200
31/12/2023,8425,9241,11162350,11336800,17666,22499150
01/01/2024,8237,8042,10800700,10473250,16279,21273950
01/02/2024,8717,7932,11473150,11029850,16649,22503000
01/03/2024,8303,8892,10619250,12149400,17195,22768650
01/04/2024,12182,8397,13326200,12142400,20579,25468600
01/05/2024,12890,8833,14796350,12586300,21723,27382650
01/06/2024,4594,3104,6057350,4277750,7698,10335100
01/07/2024,1528,2253,1773650,2246150,3781,4019800
01/08/2024,4773,10419,6654250,10758700,15192,17412950
01/09/2024,6902,10998,9725150,12585000,17900,22310150
01/10/2024,8003,9641,11312650,12549250,17644,23861900
01/11/2024,9653,8783,12194400,11899350,18436,24093750
01/12/2024,10838,10709,13358050,13174600,21547,26532650
13/01/2024,7772,10073,10598250,11840200,17845,22438450
14/01/2024,7439,8471,10580300,11321200,15910,21901500
15/01/2024,8064,8124,11325000,11263000,16188,22588000
16/01/2024,8135,8529,11096200,11797550,16664,22893750
17/01/2024,8100,8125,11330450,11522550,16225,22853000
18/01/2024,9533,7967,11909700,11577500,17500,23487200
19/01/2024,10736,10271,13305200,12942700,21007,26247900
20/01/2024,8218,10066,10788100,12005900,18284,22794000
21/01/2024,8105,8757,11028550,11440650,16862,22469200
22/01/2024,7926,8157,10993950,11040150,16083,22034100
23/01/2024,7918,8151,10960700,11324200,16069,22284900
24/01/2024,8202,8020,11225500,11273200,16222,22498700
25/01/2024,9846,8652,11853450,12255600,18498,24109050
26/01/2024,11458,10624,13804850,13401450,22082,27206300
27/01/2024,8400,10443,11026700,12349400,18843,23376100
28/01/2024,7892,8715,10822500,11146300,16607,21968800
29/01/2024,8059,8438,11013600,11562350,16497,22575950
30/01/2024,8226,8303,11335500,11449950,16529,22785450
31/01/2024,8581,8635,11620950,12002250,17216,23623200
02/01/2024,10374,8869,12368800,12336250,19243,24705050
02/02/2024,11476,10574,13922900,13297400,22050,27220300
02/03/2024,8173,10329,10413600,11930650,18502,22344250
02/04/2024,8622,9045,11622950,11131950,17667,22754900
02/05/2024,8140,7035,11048250,8888250,15175,19936500
02/06/2024,8616,8687,11641900,12060200,17303,23702100
02/07/2024,8704,8777,11558050,12230100,17481,23788150
02/08/2024,11226,9326,13100550,13049050,20552,26149600
02/09/2024,12147,11579,14463000,14544900,23726,29007900
02/10/2024,8651,10964,11135000,12667750,19615,23802750
02/11/2024,8769,9409,12063950,11859300,18178,23923250
02/12/2024,9167,8975,12597900,12152600,18142,24750500
13/02/2024,8701,9335,11703250,12800500,18036,24503750
14/02/2024,8719,8847,11763200,12363450,17566,24126650
15/02/2024,10474,8864,12596600,12321250,19338,24917850
16/02/2024,12365,11020,14696000,13571850,23385,28267850
17/02/2024,9200,10751,11975300,12278400,19951,24253700
18/02/2024,8524,9354,11568950,11940950,17878,23509900
19/02/2024,9594,9022,12558250,12181100,18616,24739350
20/02/2024,10605,10652,13016300,14868500,21257,27884800
21/02/2024,12349,10831,14429550,13717400,23180,28146950
22/02/2024,9011,8399,10214650,10632300,17410,20846950
23/02/2024,11040,11236,13065150,13230050,22276,26295200
24/02/2024,7626,10214,9563200,11277950,17840,20841150
25/02/2024,8685,7660,11159900,9380800,16345,20540700
26/02/2024,8162,9078,10168600,10618450,17240,20787050
27/02/2024,7558,8563,9921200,10314500,16121,20235700
28/02/2024,8311,8239,10962750,10942550,16550,21905300
29/02/2024,9911,8607,11742400,11436700,18518,23179100
03/01/2024,10927,9934,12869200,12216650,20861,25085850
03/02/2024,8672,10398,11058750,11941000,19070,22999750
03/03/2024,8226,9307,10921400,11529500,17533,22450900
03/04/2024,7723,8337,9949800,11108150,16060,21057950
03/05/2024,8652,8396,11357300,11069400,17048,22426700
03/06/2024,8769,8830,11380400,11772750,17599,23153150
03/07/2024,11003,9103,12904950,12227300,20106,25132250
03/08/2024,11287,10346,12850800,12554950,21633,25405750
03/09/2024,9378,11733,11758200,13334200,21111,25092400
03/10/2024,9153,10321,12152950,12575250,19474,24728200
03/11/2024,8888,9366,12232000,12287450,18254,24519450
03/12/2024,7232,7130,10422800,10432250,14362,20855050
13/03/2024,7044,7308,9950650,10401900,14352,20352550
14/03/2024,8468,7349,10770050,10482050,15817,21252100
15/03/2024,8714,7647,11054550,10471100,16361,21525650
16/03/2024,6873,7697,9129850,9947500,14570,19077350
17/03/2024,6985,8239,9758600,10429250,15224,20187850
18/03/2024,6557,7463,9221750,9594000,14020,18815750
19/03/2024,7086,7114,10210450,10097800,14200,20308250
20/03/2024,7068,7076,10031950,10195950,14144,20227900
21/03/2024,7981,7318,10448350,10530550,15299,20978900
22/03/2024,8440,7711,10851800,10251850,16151,21103650
23/03/2024,6467,7936,8733900,10017050,14403,18750950
24/03/2024,6837,7265,9302450,9901400,14102,19203850
25/03/2024,7497,7260,10211750,10372500,14757,20584250
26/03/2024,7836,7702,10512450,10522600,15538,21035050
27/03/2024,7011,7378,9256750,9718350,14389,18975100
28/03/2024,8308,7738,10862900,10753600,16046,21616500
29/03/2024,9175,8496,11319450,11806750,17671,23126200
30/03/2024,7267,8189,9741500,10449900,15456,20191400
31/03/2024,7317,7409,10178900,9894950,14726,20073850
04/01/2024,7640,7561,10494250,10808800,15201,21303050
04/02/2024,7823,7977,10675100,11330850,15800,22005950
04/03/2024,8276,8266,11007900,11710300,16542,22718200
04/04/2024,11186,9233,13125100,13260250,20419,26385350
04/05/2024,14865,10826,16341300,15284100,25691,31625400
04/06/2024,11437,9375,13217350,12602900,20812,25820250
04/07/2024,13529,9777,15316900,13565800,23306,28882700
04/08/2024,20851,10949,20587850,15161700,31800,35749550
04/09/2024,30330,14874,27637900,21356800,45204,48994700
04/10/2024,17705,8510,16070350,11589500,26215,27659850
04/11/2024,11194,7465,9141800,7523200,18659,16665000
04/12/2024,15883,12100,13818700,12505450,27983,26324150
13/04/2024,12896,15596,12049100,14359900,28492,26409000
14/04/2024,11625,23301,13374250,19598050,34926,32972300
15/04/2024,12133,23380,15413800,20420650,35513,35834450
16/04/2024,11634,19642,16077450,19699050,31276,35776500
17/04/2024,11048,15715,15118950,16966900,26763,32085850
18/04/2024,11238,13261,14395700,15374200,24499,29769900
19/04/2024,12222,15987,16007850,17932650,28209,33940500
20/04/2024,9888,13566,13484950,14942100,23454,28427050
21/04/2024,8964,10383,12168500,12853100,19347,25021600
22/04/2024,8536,9411,11686050,12402050,17947,24088100
23/04/2024,8198,9027,11191250,12149500,17225,23340750
24/04/2024,8397,8890,11269750,11882550,17287,23152300
25/04/2024,9607,8798,11740450,11960350,18405,23700800
26/04/2024,10631,10306,12976850,12918850,20937,25895700
27/04/2024,8294,10002,10851250,11812750,18296,22664000
28/04/2024,8158,8696,10848150,10996500,16854,21844650
29/04/2024,7962,8316,10713850,11213400,16278,21927250
30/04/2024,10062,8503,12590300,11721800,18565,24312100
05/01/2024,9540,9819,11388700,12271900,19359,23660600
05/02/2024,8667,8436,10020800,10898700,17103,20919500
05/03/2024,9934,10132,12100900,12615450,20066,24716350
05/04/2024,8065,10107,10546350,11766750,18172,22313100
05/05/2024,7962,8714,10537750,10939250,16676,21477000
05/06/2024,7887,7620,10720700,10776900,15507,21497600
05/07/2024,8021,7689,10501850,10736400,15710,21238250
05/08/2024,7343,7572,9857850,10405700,14915,20263550
05/09/2024,9613,8819,11548900,11821100,18432,23370000
05/10/2024,10489,10593,12274350,12782350,21082,25056700
05/11/2024,7940,9983,10367800,11862600,17923,22230400
05/12/2024,8043,8689,11046900,11044350,16732,22091250
13/05/2024,8093,8574,10912750,11657000,16667,22569750
14/05/2024,8264,8490,11175600,11698850,16754,22874450
15/05/2024,8301,8641,10949400,11903850,16942,22853250
16/05/2024,10157,8662,11887650,11764300,18819,23651950
17/05/2024,11164,10501,13025400,12981700,21665,26007100
18/05/2024,8158,10042,10458050,11467250,18200,21925300
19/05/2024,8169,8723,10806250,11128450,16892,21934700
20/05/2024,8402,8299,10827700,11280850,16701,22108550
21/05/2024,8480,8178,10841000,10898150,16658,21739150
22/05/2024,8845,9404,11136650,11595250,18249,22731900
23/05/2024,9320,8519,11279500,11122250,17839,22401750
24/05/2024,10675,10585,12653550,12966950,21260,25620500
25/05/2024,8241,10380,10879850,11978100,18621,22857950
26/05/2024,7562,8322,10236150,10863400,15884,21099550
27/05/2024,5643,4780,8283200,6811100,10423,15094300
28/05/2024,6237,6632,7838850,8697050,12869,16535900
29/05/2024,7845,8320,10443750,11344000,16165,21787750
30/05/2024,9250,8795,11257700,11652600,18045,22910300
31/05/2024,10709,10496,12797600,12876950,21205,25674550
06/01/2024,8094,9550,10522000,11463800,17644,21985800
06/02/2024,7923,8464,10616800,10921950,16387,21538750
06/03/2024,8291,8467,11183150,11703150,16758,22886300
06/04/2024,8338,8475,11283750,11683000,16813,22966750
06/05/2024,8225,8463,11154650,11726950,16688,22881600
06/06/2024,9247,8890,11671700,12045050,18137,23716750
06/07/2024,10807,10104,13385100,12846400,20911,26231500
06/08/2024,8579,9594,11146350,12038600,18173,23184950
06/09/2024,8945,9054,12132000,12178050,17999,24310050
06/10/2024,9190,9585,12419850,13562600,18775,25982450
06/11/2024,9952,10110,13518700,14637450,20062,28156150
06/12/2024,11573,11110,15072400,16102300,22683,31174700
13/06/2024,17824,12672,18543850,18093050,30496,36636900
14/06/2024,28896,15137,27264550,20765550,44033,48030100
15/06/2024,25453,13573,24313950,18597350,39026,42911300
16/06/2024,20792,10710,20802800,14711400,31502,35514200
17/06/2024,10453,6988,9305400,7411150,17441,16716550
18/06/2024,15067,13184,13809950,13312050,28251,27122000
19/06/2024,13005,15322,12774300,14289250,28327,27063550
20/06/2024,11335,14435,12026000,14264150,25770,26290150
21/06/2024,12867,22977,15342250,20419800,35844,35762050
22/06/2024,12418,24437,16363350,21528900,36855,37892250
23/06/2024,11471,17532,15680550,17874150,29003,33554700
24/06/2024,10486,13981,14334550,15808900,24467,30143450
25/06/2024,9883,12320,13562850,14692000,22203,28254850
26/06/2024,9213,10567,12723050,13244600,19780,25967650
27/06/2024,10042,9768,12389150,12587650,19810,24976800
28/06/2024,11806,12447,14483750,14788900,24253,29272650
29/06/2024,8716,10782,11860950,12645650,19498,24506600
30/06/2024,8413,8903,11786650,11446500,17316,23233150
07/01/2024,8069,8480,11348350,11647150,16549,22995500
07/02/2024,7603,7844,10670350,10780600,15447,21450950
07/03/2024,7643,8090,10345100,11148550,15733,21493650
07/04/2024,9399,7956,11435700,10932400,17355,22368100
07/05/2024,9980,9950,12375300,12468550,19930,24843850
07/06/2024,7983,9712,10364550,11587150,17695,21951700
07/07/2024,7884,8341,10758550,10502400,16225,21260950
07/08/2024,8016,8400,10701150,11259750,16416,21960900
07/09/2024,8089,8147,10957350,11030950,16236,21988300
07/10/2024,7920,7931,10713250,10988750,15851,21702000
07/11/2024,9656,8310,11665700,11615600,17966,23281300
07/12/2024,9645,9736,11808750,12600050,19381,24408800
13/07/2024,9656,8310,11665700,11615600,17966,23281300
14/07/2024,8335,8705,11167150,11026700,17040,22193850
15/07/2024,7972,8258,10672050,11143050,16230,21815100
16/07/2024,9092,8025,11505550,10971000,17117,22476550
17/07/2024,8478,7996,10357600,10707050,16474,21064650
18/07/2024,5400,4646,5985050,5924500,10046,11909550
19/07/2024,4037,3933,3840800,4304650,7970,8145450
20/07/2024,2256,2188,2534400,2185100,4444,4719500
21/07/2024,2489,2217,2295250,2388500,4706,4683750
22/07/2024,3495,3097,3511400,3333000,6592,6844400
23/07/2024,4270,3976,4478000,4621100,8246,9099100
24/07/2024,5509,6809,6974150,7663000,12318,14637150
25/07/2024,7365,6918,9086100,9080350,14283,18166450
26/07/2024,8144,8059,10595850,10586600,16203,21182450
27/07/2024,6616,8177,9028850,9829800,14793,18858650
28/07/2024,6890,7492,9674550,9560400,14382,19234950
29/07/2024,7034,7382,9708900,10314000,14416,20022900
30/07/2024,7009,7044,9761650,9969600,14053,19731250
31/07/2024,7169,7010,9992500,9873300,14179,19865800
08/01/2024,7835,6642,9941150,9588000,14477,19529150
08/02/2024,7397,6989,9721150,9582650,14386,19303800
08/03/2024,5670,7048,7422650,8738500,12718,16161150
08/04/2024,4277,3101,4676200,3591600,7378,8267800
08/05/2024,3495,2765,2704000,2817750,6260,5521750
08/06/2024,6251,5410,5412550,5270750,11661,10683300
08/07/2024,6634,7154,7121350,7905400,13788,15026750
08/08/2024,7960,7264,8727250,9150050,15224,17877300
08/09/2024,8094,8671,9079850,10096300,16765,19176150
08/10/2024,6480,8864,8157350,9469250,15344,17626600
08/11/2024,6644,7774,8952850,9339250,14418,18292100
08/12/2024,7076,7811,9432550,10047500,14887,19480050
13/08/2024,7375,7663,9702650,9966100,15038,19668750
14/08/2024,8026,7815,10059250,10384350,15841,20443600
15/08/2024,9040,7100,9998900,9655750,16140,19654650
16/08/2024,9968,9887,11258900,11823200,19855,23082100
17/08/2024,7274,9969,9120350,11014550,17243,20134900
18/08/2024,7273,8756,9823400,10487400,16029,20310800
19/08/2024,7441,7743,10166800,10141700,15184,20308500
20/08/2024,7644,8119,10022250,10568050,15763,20590300
21/08/2024,7375,7560,9744600,10379500,14935,20124100
22/08/2024,8746,7552,10397100,10197250,16298,20594350
23/08/2024,9861,9248,11287200,11295750,19109,22582950
24/08/2024,7034,8977,8391700,10140850,16011,18532550
25/08/2024,7028,7311,9137850,9326550,14339,18464400
26/08/2024,7474,8076,9833350,10018750,15550,19852100
27/08/2024,7177,7629,9448500,9668650,14806,19117150
28/08/2024,7665,8012,9970550,10546100,15677,20516650
29/08/2024,9758,8278,11056050,10941100,18036,21997150
30/08/2024,11272,10566,12909700,12499650,21838,25409350
31/08/2024,7900,10194,9899000,11419250,18094,21318250
09/01/2024,8045,8579,10179750,10386050,16624,20565800
09/02/2024,7832,8432,10244500,10899000,16264,21143500
09/03/2024,8013,8136,10286800,10491000,16149,20777800
09/04/2024,8169,8292,10281050,10704100,16461,20985150
09/05/2024,10140,8574,11081100,10984800,18714,22065900
09/06/2024,11857,10935,12773250,12297400,22792,25070650
09/07/2024,8070,10664,9826000,11470750,18734,21296750
09/08/2024,8030,9033,10161200,10616150,17063,20777350
09/09/2024,7971,8482,10450250,10857200,16453,21307450
09/10/2024,8188,8463,10536200,10950750,16651,21486950
09/11/2024,8408,8431,10598800,10929200,16839,21528000
09/12/2024,10649,8841,11377000,11455750,19490,22832750
13/09/2024,12322,10879,13331350,12557450,23201,25888800
14/09/2024,6874,8137,9166650,9684400,15011,18851050
15/09/2024,6511,6503,9019150,8330500,13014,17349650
16/09/2024,7567,8994,9362200,10540950,16561,19903150
17/09/2024,7167,8340,8728750,9620100,15507,18348850
18/09/2024,7885,8481,10087350,11053350,16366,21140700
19/09/2024,10058,8750,11108150,11389200,18808,22497350
20/09/2024,11644,10813,12805750,12296100,22457,25101850
21/09/2024,7981,9883,9848300,10675850,17864,20524150
22/09/2024,7963,8676,10079250,10375650,16639,20454900
23/09/2024,8155,8650,10585450,10973700,16805,21559150
24/09/2024,8220,8251,10451700,10483750,16471,20935450
25/09/2024,7719,7437,10414200,10038150,15156,20452350
26/09/2024,8259,7466,10236050,10345600,15725,20581650
27/09/2024,10277,9486,12212800,11447650,19763,23660450
28/09/2024,7892,9611,9731050,10812900,17503,20543950
29/09/2024,8124,8681,10552500,10672800,16805,21225300
30/09/2024,8153,8592,10683500,11219950,16745,21903450
10/01/2024,8236,8447,10714350,11235700,16683,21950050
10/02/2024,7944,7942,10389300,10543350,15886,20932650
10/03/2024,8924,7738,10629750,10489400,16662,21119150
10/04/2024,10352,9418,12375900,11656500,19770,24032400
10/05/2024,7059,8658,9321800,10246500,15717,19568300
10/06/2024,7488,8237,9550300,10155200,15725,19705500
10/07/2024,8146,8337,10470950,10920200,16483,21391150
10/08/2024,8752,8494,10913900,11496450,17246,22410350
10/09/2024,11192,8659,12557050,11713950,19851,24271000
10/10/2024,16811,10396,16237700,13824000,27207,30061700
10/11/2024,14695,11324,15292750,13111500,26019,28404250
10/12/2024,9012,10157,10140000,10804350,19169,20944350
13/10/2024,8804,13555,10691450,13251500,22359,23942950
14/10/2024,8286,11875,10746650,11947500,20161,22694150
15/10/2024,8844,9977,11502650,12008700,18821,23511350
16/10/2024,9121,9662,11715150,12070800,18783,23785950
17/10/2024,10303,8943,12054850,11680150,19246,23735000
18/10/2024,11484,11171,13366650,13175650,22655,26542300
19/10/2024,8494,10773,10872450,11906800,19267,22779250
20/10/2024,8318,9116,10993000,11032550,17434,22025550
21/10/2024,8191,8741,10938700,11413150,16932,22351850
22/10/2024,8356,8402,10861700,11230350,16758,22092050
23/10/2024,8313,8330,10920600,11165400,16643,22086000
24/10/2024,8804,7884,10982550,10885250,16688,21867800
25/10/2024,10218,9162,11672050,11158500,19380,22830550
26/10/2024,7852,9424,9748200,10519700,17276,20267900
27/10/2024,7918,8286,10487500,10051250,16204,20538750
28/10/2024,8101,8448,10657550,11124600,16549,21782150
29/10/2024,8329,8240,10846950,10839750,16569,21686700
30/10/2024,8565,8485,11086000,113348000,17050,22420800
31/10/2024,10616,8587,11882250,11333950,19203,23216200
11/01/2024,11578,10372,12792650,12792650,21950,24772050
11/02/2024,8068,10293,10041900,11188300,18361,21230200
11/03/2024,8059,9062,10234000,10762650,17121,20996650
11/04/2024,8412,8572,10952800,10900550,16984,21853350
11/05/2024,8502,8929,11268100,11819500,17431,23087600
11/06/2024,8079,8357,10302300,11023450,16436,21325750
11/07/2024,10958,8641,11978500,11314650,19599,23293150
11/08/2024,11564,10667,13120100,12716550,22231,25836650
11/09/2024,8218,10544,10158500,11265700,18762,21424200
11/10/2024,7976,8964,10309800,10721650,16940,21031450
11/11/2024,8290,8621,10697950,10974600,16911,21672550
11/12/2024,8093,8377,10596100,10889200,16470,21485300
13/11/2024,8622,8420,11100550,11170550,17042,22271100
13/11/2024,10815,8709,11987100,11375150,19524,23362250
15/11/2024,12082,10909,13586900,12797950,22991,26384850
16/11/2024,8585,10694,10238800,11625000,19279,21863800
17/11/2024,8226,9301,10618200,11097500,17527,21715700
18/11/2024,8290,8817,10766450,11371850,17107,22138300
19/11/2024,8321,8324,10853200,10827250,16645,21680450
20/11/2024,8736,8658,11180200,11099850,17394,22280050
21/11/2024,10418,8889,11914600,11767750,19307,23682350
22/11/2024,11420,10765,12904500,12827500,22185,25732000
23/11/2024,8059,10566,9934450,11504850,18625,21439300
24/11/2024,8220,8812,10589550,10836750,17032,21426300
25/11/2024,8417,8594,10841000,11165200,17011,22006200
26/11/2024,8323,8314,10780650,10703000,16637,21483650
27/11/2024,8455,8591,10718300,11214600,17046,21932900
28/11/2024,10160,8660,11769700,11373350,18820,23143050
29/11/2024,11358,10457,13018800,12432650,21815,25451450
30/11/2024,8174,10183,10298800,11483300,18357,21782100
12/01/2024,8003,8985,10240500,10999600,16988,21240100
12/02/2024,7937,8702,10304150,11339750,16639,21643900
12/03/2024,7978,8215,10359450,10826950,16193,21186400
12/04/2024,8084,8340,10341500,10874900,16424,21216400
12/05/2024,10391,8468,11503800,10972600,18859,22476400
12/06/2024,11099,10391,12774000,12526550,21490,25300550
12/07/2024,8006,10073,9888000,11134050,18079,21022050
12/08/2024,8044,8880,10237850,10786050,16924,21023900
12/09/2024,8087,8318,10805100,10852250,16405,21657350
12/10/2024,8402,8323,10991550,11115800,16725,22107350
12/11/2024,8738,8642,11057250,11537550,17380,22594800
12/12/2024,11846,9319,13293350,12531650,21165,25825000
13/12/2024,13645,11283,15495400,13997950,24928,29493350
14/12/2024,9203,10536,11215150,12112800,19739,23327950
15/12/2024,10259,9466,12211000,11743800,19725,23954800
16/12/2024,11268,11900,13515600,13630450,23168,27146050
17/12/2024,8702,10365,10847250,12392650,19067,23239900
18/12/2024,9808,9813,12509900,12541100,19621,25051000
19/12/2024,12078,9546,13687250,12543450,21624,26230700
20/12/2024,13335,11972,15237550,14468500,25307,29706050
21/12/2024,9452,11478,11888650,12929900,20930,24818550
22/12/2024,9595,10279,12182650,12346550,19874,24529200
23/12/2024,9883,10032,12498600,12780350,19915,25278950
24/12/2024,11296,9899,13438350,12924500,21195,26362850
25/12/2024,12671,11107,14798900,14074150,23778,28873050
26/12/2024,11415,9427,12971800,11655550,20842,24627350
27/12/2024,12846,12814,14952250,15068500,25660,30020750
28/12/2024,9880,13339,12549050,14259950,23219,26809000
29/12/2024,9363,10859,12345700,12911350,20222,25257050
30/12/2024,9585,10309,12674250,13002100,19894,25676350
31/12/2024,9669,9774,12608200,12615500,19443,25223700
01/01/2025,9381,9088,12214850,11750700,18469,23965550
01/02/2025,10286,8982,12514500,12090050,19268,24604550
01/03/2025,10670,10317,13367350,13089250,20987,26456600
01/04/2025,8272,10677,10700950,12312750,18949,23013700
01/05/2025,8616,9211,11432050,11382450,17827,#VALUE!
01/06/2025,8480,9025,11317600,11774900,17505,23092500
01/07/2025,8652,8823,11575350,11815150,17475,23390500
01/08/2025,8794,8725,11638700,11733250,17519,23371950
01/09/2025,11012,9220,12603850,12315150,20232,24919000
01/10/2025,13041,11089,15065550,13605400,24130,28670950
01/11/2025,8858,12198,11188350,13686700,21056,24875050
01/12/2025,8775,9491,11685850,11438050,18266,23123900
13/01/2025,8720,9261,11554900,12170950,17981,23725850
14/01/2025,9638,8798,12789500,11850350,18436,24639850
15/01/2025,9062,9914,11788100,13225900,18976,25014000
16/01/2025,11376,9129,12883250,12176400,20505,25059650
17/01/2025,12250,11545,14351800,13951600,23795,28303400
18/01/2025,8711,11007,10812800,12268500,19718,23081300
19/01/2025,8746,9434,11341500,11368450,18180,22709950
20/01/2025,8836,9187,11641000,11918150,18023,23559150
21/01/2025,8732,8683,11526300,11455250,17415,22981550
22/01/2025,8963,8921,11884800,11682900,17884,23567700
23/01/2025,11019,9190,12742550,12294950,20209,25037500
24/01/2025,12014,11106,14207000,13586950,23120,27793950
25/01/2025,8942,10870,11316400,12330900,19812,23647300
26/01/2025,8904,9448,11516200,11732300,18352,23248500
27/01/2025,8989,9282,11845600,11905450,18271,23751050
28/01/2025,8929,8989,11808000,11939400,17918,23747400
29/01/2025,8850,9305,11538400,12339250,18155,23877650
30/01/2025,11064,9226,13134950,12478100,20290,25613050
31/01/2025,11947,10893,14028050,13462550,22840,27490600
02/01/2025,9073,10997,11353100,12536450,20070,23889550
02/02/2025,8969,9998,11653250,12350700,18967,24003950
02/03/2025,8719,9622,11371450,12423700,18341,23795150
02/04/2025,9347,9466,12413500,12352400,18813,24765900
02/05/2025,9414,9297,12292200,12032000,18711,24324200
02/06/2025,11401,9286,12940150,12154150,20687,25094300
02/07/2025,11975,11402,14004150,13958300,23377,27962450
02/08/2025,8822,11205,11070250,12364700,20027,23434950
02/09/2025,8944,9744,11710400,11905550,18688,23615950
02/10/2025,9498,9123,12647150,11828700,18621,24475850
02/11/2025,9284,9845,12269450,13203150,19129,25472600
02/12/2025,9544,9357,12450800,12549000,18901,24999800
13/02/2025,12850,10113,14411600,13730550,22963,28142150
14/02/2025,13522,10649,16168400,13722150,24171,29890550
15/02/2025,9396,12048,11602300,13050800,21444,24653100
16/02/2025,9484,11242,12484400,12393900,20726,24878300
17/02/2025,10619,10430,13922600,13230700,21049,27153300
18/02/2025,9369,11163,12630150,15160700,20532,27790850
19/02/2025,9844,9671,12707500,12656200,19515,25363700
20/02/2025,12267,9843,14212750,13115150,22110,27327900
21/02/2025,13198,12187,15264250,14525650,25385,29789900
22/02/2025,9130,12264,11528250,13606500,21394,25134750
23/02/2025,9330,10435,11999500,12537550,19765,24537050
24/02/2025,9497,10050,12387300,12974100,19547,25361400
25/02/2025,9924,10035,12888000,13234950,19959,26122950
26/02/2025,10148,10228,13026850,13113650,20376,26140500
27/02/2025,11406,10718,13718450,14038300,22124,27756750
28/02/2025,12063,11726,14696250,14514850,23789,29211100
03/01/2025,9065,10992,11961500,12841950,20057,24803450
03/02/2025,7487,7735,10568300,10289400,15222,20857700
03/03/2025,7445,7619,10243250,10334000,15064,20577250
03/04/2025,7446,7682,10371450,10471800,15128,20843250
03/05/2025,7708,7802,10472700,10707250,15510,21179950
03/06/2025,9063,7961,11038450,10828350,17024,21866800
03/07/2025,8597,8127,11169900,10698600,16724,21868500
03/08/2025,6804,8357,8983750,9920700,15161,18904450
