Date,Traffic_Mawa,Traffic_Jajira,Cash_Mawa,Cash_Jajira,Total_Traffic,Total_Cash
16/10/2022,5966,6302,9289850,9910300,12268,19200150
17/10/2022,6334,6591,10150100,10499650,12925,20649750
18/10/2022,6281,6816,9731200,10576650,13097,20307850
19/10/2022,6171,6503,9946950,10258100,12674,20205050
20/10/2022,6936,6539,10583300,10182100,13475,20765400
21/10/2022,8261,7887,11652200,11330450,16148,22982650
22/10/2022,5880,7226,8709300,11330450,13106,19041850
23/10/2022,5998,6471,9426150,10165150,12469,19591300
24/10/2022,4864,3945,7496550,5944550,8809,13441050
25/10/2022,4164,5168,6615600,8137900,9332,14753500
26/10/2022,5764,5968,9067600,9392300,11732,18459900
27/10/2022,6637,6424,10266900,10195550,13061,20462450
28/10/2022,8568,7652,12381000,11208150,16220,23589150
29/10/2022,6068,7692,9093050,11217850,13760,20310900
30/10/2022,5820,6326,9105700,9739900,12146,18845600
31/10/2022,6228,6295,9914650,9914550,12523,19829200
11/01/2022,6184,6430,9729450,10116450,12614,19845900
11/02/2022,6139,6317,9649900,10041200,12456,19691100
11/03/2022,7126,6560,10894100,10504200,13686,21398300
11/04/2022,8106,7729,11530900,11137900,15835,22668800
11/05/2022,5659,6765,8380700,9421000,12424,17801700
11/06/2022,6105,6329,9654450,9680300,12434,19334750
11/07/2022,6257,6589,9726000,10405050,12846,20131050
11/08/2022,6265,6365,9923150,10093900,12630,20017050
11/09/2022,6312,6471,9923350,10285050,12783,20208400
11/10/2022,7213,6786,11234350,10703900,13999,21938250
11/11/2022,8328,7895,11861000,11529200,16223,23390200
11/12/2022,5761,6623,8556100,9436000,12384,17992100
13/11/2022,6057,6904,9404650,10529650,12961,19934300
14/11/2022,6329,6355,10142450,10072200,12684,20214650
15/11/2022,6534,6518,10399050,10344350,13052,20743400
16/11/2022,6403,6438,10148400,10301000,12841,20449400
17/11/2022,7121,6650,10950750,10714500,13771,21665250
18/11/2022,8839,8662,12779250,12901900,17501,25681150
19/11/2022,6288,7595,9562000,10959750,13883,20521750
20/11/2022,6220,6442,9798450,10059300,12662,19857750
21/11/2022,6126,6530,9864500,10541200,12656,20405700
22/11/2022,6186,6193,9818300,9959650,12379,19777950
23/11/2022,6458,6340,10120250,10012050,12798,20132300
24/11/2022,6784,6367,10251150,9916250,13151,20167400
25/11/2022,8290,8015,11972300,11788650,16305,23760950
26/11/2022,6122,7200,9300500,10426850,13322,19727350
27/11/2022,5981,6372,9496700,9926500,12353,19423200
28/11/2022,6295,6788,9923250,10942750,13083,20866000
29/11/2022,6172,6516,9594800,10256300,12688,19851100
30/11/2022,6246,6233,9740700,9902500,12479,19643200
12/01/2022,7112,6779,10805550,10703550,13891,21509100
12/02/2022,8082,7851,11672550,11583450,15933,23256000
12/03/2022,5983,6993,8922650,10127300,12976,19049950
12/04/2022,5680,6060,8792400,9394050,11740,18186450
12/05/2022,5859,6194,9102800,9864950,12053,18967750
12/06/2022,6169,6469,9706350,10247250,12638,19953600
12/07/2022,6169,6177,9530500,9773900,12346,19304400
12/08/2022,6339,5457,9431650,8425300,11796,17856950
